Feature,Type,Count,Missing,Missing%,Mean,Std,Min,Max,Skew,Outliers
item_50912_count,float64,137,3,2.14,6.7372,8.1170,1.0000,42.0000,2.4697,10
item_50912_pct_abnormal,float64,137,3,2.14,0.3702,0.4554,0.0000,1.0000,0.5271,0
item_50902_last,float64,138,2,1.43,103.4203,6.3543,86.0000,120.0000,-0.1894,5
item_50902_mean,float64,138,2,1.43,103.3387,5.6930,86.5000,123.6000,-0.1306,3
item_50902_min,float64,138,2,1.43,100.0290,6.2758,81.0000,116.0000,-0.6006,4
item_50902_max,float64,138,2,1.43,106.5145,6.8319,87.0000,136.0000,0.5214,4
item_50902_std,float64,110,30,21.43,2.9731,1.8238,0.5477,11.6352,1.4910,2
item_50902_count,float64,138,2,1.43,7.1739,8.8416,1.0000,54.0000,2.7713,10
item_50902_pct_abnormal,float64,138,2,1.43,0.2714,0.3584,0.0000,1.0000,0.9936,0
item_51006_last,float64,137,3,2.14,27.1460,22.9912,5.0000,133.0000,1.9306,12
item_51006_mean,float64,137,3,2.14,25.8292,19.5549,5.0000,88.6667,1.4727,13
item_51006_min,float64,137,3,2.14,20.2555,15.5781,3.0000,81.0000,1.7514,11
item_51006_max,float64,137,3,2.14,32.4234,28.4661,7.0000,154.0000,2.0661,11
item_51006_std,float64,110,30,21.43,5.7024,7.2061,0.0000,35.0286,2.4300,13
item_51006_count,float64,137,3,2.14,6.7299,8.0900,1.0000,42.0000,2.4655,10
item_51006_pct_abnormal,float64,137,3,2.14,0.4183,0.4454,0.0000,1.0000,0.3482,0
item_51221_last,float64,133,7,5.00,30.8278,5.8906,13.0000,48.8000,0.2937,2
item_51221_mean,float64,133,7,5.00,31.0404,5.0651,19.9273,46.2333,0.5783,2
item_51221_min,float64,133,7,5.00,28.3699,6.0626,13.0000,44.4000,0.2825,0
item_51221_max,float64,133,7,5.00,33.8075,5.1206,23.0000,49.6000,0.3955,2
item_51221_std,float64,110,30,21.43,2.4403,1.2165,0.0707,5.7256,0.5924,2
item_51221_count,float64,133,7,5.00,6.8797,7.5217,1.0000,48.0000,2.6489,10
item_51221_pct_abnormal,float64,133,7,5.00,0.8405,0.3276,0.0000,1.0000,-1.9378,26
item_50882_last,float64,137,3,2.14,23.5036,4.6386,8.0000,37.0000,-0.3298,4
item_50882_mean,float64,137,3,2.14,23.7572,3.9379,9.0000,36.5000,-0.2813,7
item_50882_min,float64,137,3,2.14,21.0438,5.0568,5.0000,36.0000,-0.7085,4
item_50882_max,float64,137,3,2.14,26.2482,4.8062,9.0000,46.0000,0.5582,8
item_50882_std,float64,110,30,21.43,2.3872,1.5943,0.0000,10.4052,1.7995,6
item_50882_count,float64,137,3,2.14,6.8467,8.6839,1.0000,52.0000,2.8150,10
item_50882_pct_abnormal,float64,137,3,2.14,0.2790,0.3714,0.0000,1.0000,0.9663,0
item_50868_last,float64,137,3,2.14,14.6277,4.6241,7.0000,30.0000,0.8974,5
item_50868_mean,float64,137,3,2.14,14.5456,3.6760,7.7500,27.1739,0.9912,5
item_50868_min,float64,137,3,2.14,12.3723,3.5210,4.0000,24.0000,0.5311,4
item_50868_max,float64,137,3,2.14,17.0949,5.4231,8.0000,40.0000,1.3555,12
item_50868_std,float64,110,30,21.43,2.2526,1.5062,0.0000,7.6376,1.4258,8
item_50868_count,float64,137,3,2.14,6.8248,8.6678,1.0000,52.0000,2.8335,10
item_50868_pct_abnormal,float64,137,3,2.14,0.1121,0.2462,0.0000,1.0000,2.3820,26
item_51265_last,float64,132,8,5.71,212.2273,101.4795,7.0000,470.0000,0.5384,2
item_51265_mean,float64,132,8,5.71,206.1906,95.5204,15.3636,515.5000,0.7590,7
item_51265_min,float64,132,8,5.71,177.3712,97.1312,6.0000,468.0000,0.8923,6
item_51265_max,float64,132,8,5.71,249.4621,114.0063,30.0000,741.0000,1.0384,3
item_51265_std,float64,108,32,22.86,33.4539,28.5569,0.0000,208.6701,2.7869,7
item_51265_count,float64,133,7,5.00,6.3534,7.5861,0.0000,45.0000,2.7096,10
item_51265_pct_abnormal,float64,133,7,5.00,0.3452,0.4077,0.0000,1.0000,0.6260,0
item_51222_last,float64,133,7,5.00,10.1045,1.9425,3.9000,16.9000,0.3105,2
item_51222_mean,float64,133,7,5.00,10.1955,1.7475,6.6000,16.2000,0.6319,1
item_51222_min,float64,133,7,5.00,9.3466,2.0218,3.9000,15.7000,0.3674,2
item_51222_max,float64,133,7,5.00,11.0835,1.7816,7.7000,16.9000,0.4249,2
item_51222_std,float64,108,32,22.86,0.8438,0.4027,0.0707,1.9975,0.5460,0
item_51222_count,float64,133,7,5.00,6.2932,7.2799,1.0000,45.0000,2.6541,10
item_51222_pct_abnormal,float64,133,7,5.00,0.8662,0.3003,0.0000,1.0000,-2.1799,0
item_51277_last,float64,133,7,5.00,15.0932,2.3741,11.8000,26.2000,1.7459,5
item_51277_mean,float64,133,7,5.00,15.0938,2.3710,11.8500,26.3417,1.7677,8
item_51277_min,float64,133,7,5.00,14.7068,2.2042,11.7000,25.9000,1.9376,5
item_51277_max,float64,133,7,5.00,15.5135,2.7885,11.9000,29.3000,2.0660,6
item_51277_std,float64,108,32,22.86,0.3684,0.4174,0.0000,3.6028,4.8292,9
item_51277_count,float64,133,7,5.00,6.1128,6.8198,1.0000,36.0000,2.3151,11
item_51277_pct_abnormal,float64,133,7,5.00,0.3024,0.4299,0.0000,1.0000,0.8415,0
item_51279_last,float64,133,7,5.00,3.4530,0.6937,1.2900,6.1100,0.3582,3
item_51279_mean,float64,133,7,5.00,3.4812,0.6369,2.2327,5.9860,0.6587,2
item_51279_min,float64,133,7,5.00,3.1990,0.7314,1.2900,5.6500,0.3224,1
item_51279_max,float64,133,7,5.00,3.7714,0.6375,2.4800,6.4000,0.6271,1
item_51279_std,float64,108,32,22.86,0.2797,0.1357,0.0416,0.7726,1.0013,2
item_51279_count,float64,133,7,5.00,6.1203,6.8491,1.0000,36.0000,2.3317,11
item_51279_pct_abnormal,float64,133,7,5.00,0.8851,0.2772,0.0000,1.0000,-2.3865,0
item_51301_last,float64,133,7,5.00,13.3248,14.0040,0.3000,116.1000,4.8706,8
item_51301_mean,float64,133,7,5.00,12.7424,10.5809,0.4364,88.3750,4.4366,9
item_51301_min,float64,133,7,5.00,10.1880,9.2138,0.1000,73.1000,4.3772,10
item_51301_max,float64,133,7,5.00,16.1451,14.0959,0.6000,116.1000,4.3622,11
item_51301_std,float64,108,32,22.86,2.9261,2.9988,0.0577,19.2989,3.2350,8
item_51301_count,float64,133,7,5.00,6.2030,7.2318,1.0000,44.0000,2.6486,11
item_51301_pct_abnormal,float64,133,7,5.00,0.5178,0.4162,0.0000,1.0000,-0.0886,0
item_51249_last,float64,133,7,5.00,32.6857,1.6312,27.8000,36.7000,-0.5824,6
item_51249_mean,float64,133,7,5.00,32.8392,1.5834,27.7083,35.9167,-0.5662,2
item_51249_min,float64,133,7,5.00,32.2286,1.6149,27.3000,35.6000,-0.4617,4
item_51249_max,float64,133,7,5.00,33.4391,1.7512,27.8000,37.9000,-0.3628,2
item_51249_std,float64,108,32,22.86,0.5922,0.2943,0.0707,1.4044,0.8466,2
item_51249_count,float64,133,7,5.00,6.1203,6.8491,1.0000,36.0000,2.3317,11
item_51249_pct_abnormal,float64,133,7,5.00,0.2821,0.3828,0.0000,1.0000,0.9976,0
item_51250_last,float64,133,7,5.00,90.1504,6.7762,69.0000,112.0000,-0.1898,2
item_51250_mean,float64,133,7,5.00,89.7528,6.7140,69.6667,113.0000,-0.1388,3
item_51250_min,float64,133,7,5.00,88.4737,6.7089,68.0000,112.0000,-0.0470,3
item_51250_max,float64,133,7,5.00,91.2030,6.9541,72.0000,115.0000,-0.1078,2
item_51250_std,float64,108,32,22.86,1.3123,0.8017,0.0000,4.4318,1.2563,2
item_51250_count,float64,133,7,5.00,6.1203,6.8491,1.0000,36.0000,2.3317,11
item_51250_pct_abnormal,float64,133,7,5.00,0.1721,0.3500,0.0000,1.0000,1.7765,0
item_51248_last,float64,133,7,5.00,29.4534,2.7432,19.7000,35.7000,-0.8665,4
item_51248_mean,float64,133,7,5.00,29.4825,2.7503,20.6333,35.5500,-0.7934,4
item_51248_min,float64,133,7,5.00,29.0774,2.7154,19.7000,35.1000,-0.7881,4
item_51248_max,float64,133,7,5.00,29.9158,2.8264,21.1000,37.3000,-0.6808,5
item_51248_std,float64,108,32,22.86,0.4186,0.3261,0.0577,2.7577,3.8440,6
item_51248_count,float64,133,7,5.00,6.1203,6.8491,1.0000,36.0000,2.3317,11
item_51248_pct_abnormal,float64,133,7,5.00,0.2756,0.4108,0.0000,1.0000,1.0043,0
item_50931_last,float64,137,3,2.14,142.8905,54.5315,72.0000,439.0000,2.0466,4
item_50931_mean,float64,137,3,2.14,144.1070,47.4004,78.0000,299.0000,1.3564,7
item_50931_min,float64,137,3,2.14,111.5839,35.4869,34.0000,257.0000,1.3397,6
item_50931_max,float64,137,3,2.14,197.6788,128.7375,78.0000,942.0000,3.1508,12
item_50931_std,float64,103,37,26.43,42.0164,47.0847,0.7071,293.9479,2.8741,7
item_50931_count,float64,137,3,2.14,6.6934,8.6887,1.0000,52.0000,2.8120,10
item_50931_pct_abnormal,float64,137,3,2.14,0.8372,0.2653,0.0000,1.0000,-1.8541,8
item_50960_last,float64,135,5,3.57,2.0704,0.3628,1.2000,3.5000,0.9044,3
item_50960_mean,float64,135,5,3.57,2.0726,0.3210,1.3000,3.4667,1.3978,7
item_50960_min,float64,135,5,3.57,1.8237,0.3469,0.9000,3.3000,0.9334,5
item_50960_max,float64,135,5,3.57,2.3896,0.9572,1.3000,10.0000,5.8422,5
item_50960_std,float64,104,36,25.71,0.2707,0.3514,0.0000,2.5533,4.6167,6
item_50960_count,float64,135,5,3.57,6.6741,7.9596,1.0000,41.0000,2.3614,9
item_50960_pct_abnormal,float64,135,5,3.57,0.1149,0.2369,0.0000,1.0000,2.4129,20
item_50893_last,float64,134,6,4.29,8.3060,0.6146,6.8000,10.0000,0.0518,0
item_50893_mean,float64,134,6,4.29,8.3410,0.5483,7.0889,9.7200,0.1389,0
item_50893_min,float64,134,6,4.29,7.9500,0.8792,2.7000,9.5000,-1.8438,4
item_50893_max,float64,134,6,4.29,8.6940,0.6574,7.1000,11.5000,0.8466,5
item_50893_std,float64,96,44,31.43,0.3602,0.2589,0.0000,1.4750,1.4272,4
item_50893_count,float64,134,6,4.29,6.4179,7.9247,1.0000,39.0000,2.3553,10
item_50893_pct_abnormal,float64,134,6,4.29,0.5113,0.4174,0.0000,1.0000,-0.1290,0
item_50970_last,float64,134,6,4.29,3.6933,1.4556,0.9000,9.0000,1.0110,4
item_50970_mean,float64,134,6,4.29,3.5794,1.2788,1.4000,7.6400,1.0980,7
item_50970_min,float64,134,6,4.29,2.9030,1.3110,0.7000,6.7000,0.9878,8
item_50970_max,float64,134,6,4.29,4.4194,1.9440,1.4000,13.0000,1.6552,13
item_50970_std,float64,95,45,32.14,0.7627,0.5178,0.0707,3.2813,1.7362,2
item_50970_count,float64,134,6,4.29,6.4179,8.0191,1.0000,40.0000,2.3870,9
item_50970_pct_abnormal,float64,134,6,4.29,0.4914,0.3851,0.0000,1.0000,0.0682,0
