Feature,VIF,R_squared,Issue
item_51006_last,2423.4646785529,0.9995873676192396,High multicollinearity
item_51301_std,2333.052513373625,0.9995713769860439,High multicollinearity
item_50902_min,2328.983674402831,0.999570628162408,High multicollinearity
item_50912_std,2184.056356316164,0.9995421363569177,High multicollinearity
item_51265_std,1772.9374751330415,0.9994359643168325,High multicollinearity
item_50971_max,1746.6370673704287,0.999427471213865,High multicollinearity
item_50960_std,1482.2321642321504,0.9993253418566058,High multicollinearity
item_50912_last,1446.286766863855,0.999308574189496,High multicollinearity
item_50868_min,1390.6344402106909,0.999280903757965,High multicollinearity
item_50970_std,1345.2915445648628,0.9992566667024407,High multicollinearity
item_50960_max,1230.918811150499,0.999187598734424,High multicollinearity
item_50931_mean,1097.7600910173262,0.9990890541492784,High multicollinearity
item_50971_count,1000.0,0.999967326075185,High multicollinearity
item_50983_mean,1000.0,0.9999348928224402,High multicollinearity
item_50983_max,1000.0,0.9999530755285098,High multicollinearity
item_50983_count,1000.0,0.9999993592236416,High multicollinearity
item_50912_mean,1000.0,0.9999584666998085,High multicollinearity
item_50912_min,1000.0,0.9999132397446537,High multicollinearity
item_50912_count,1000.0,0.999998212351972,High multicollinearity
item_50902_mean,1000.0,0.9999301816277517,High multicollinearity
item_50902_count,1000.0,0.9999994211403838,High multicollinearity
item_51006_mean,1000.0,0.9999487042987623,High multicollinearity
item_51006_min,1000.0,0.9999360575167435,High multicollinearity
item_51006_max,1000.0,0.9999170824131144,High multicollinearity
item_51006_count,1000.0,0.9999984758434035,High multicollinearity
item_51221_last,1000.0,0.9999085218603707,High multicollinearity
item_51221_mean,1000.0,0.9999815317484027,High multicollinearity
item_51221_min,1000.0,0.999960693348935,High multicollinearity
item_50882_mean,1000.0,0.9999497690432338,High multicollinearity
item_50882_count,1000.0,0.9999988496292727,High multicollinearity
item_50868_mean,1000.0,0.9999183351486519,High multicollinearity
item_50868_count,1000.0,0.9999990492865946,High multicollinearity
item_51265_count,1000.0,0.9999712778340187,High multicollinearity
item_51222_last,1000.0,0.9999164160720713,High multicollinearity
item_51222_mean,1000.0,0.9999974190377299,High multicollinearity
item_51222_min,1000.0,0.9999921238869142,High multicollinearity
item_51222_max,1000.0,0.9999910058025908,High multicollinearity
item_51222_count,1000.0,0.9999925424174766,High multicollinearity
item_51277_mean,1000.0,0.9999963083735334,High multicollinearity
item_51277_min,1000.0,0.9999838783441238,High multicollinearity
item_51277_max,1000.0,0.999993006316156,High multicollinearity
item_51277_count,1000.0,1.0,High multicollinearity
item_51279_last,1000.0,0.9999684386621235,High multicollinearity
item_51279_mean,1000.0,0.9999919506315086,High multicollinearity
item_51279_min,1000.0,0.9999672802046622,High multicollinearity
item_51279_max,1000.0,0.9999932856900867,High multicollinearity
item_51279_count,1000.0,1.0,High multicollinearity
item_51301_last,1000.0,0.9999051038597178,High multicollinearity
item_51301_mean,1000.0,0.9999527865071676,High multicollinearity
item_51301_min,1000.0,0.9999199504045778,High multicollinearity
item_51301_count,1000.0,1.0,High multicollinearity
item_51249_last,1000.0,0.9999449791736077,High multicollinearity
item_51249_min,1000.0,0.9999824451365585,High multicollinearity
item_51249_max,1000.0,0.9999762965014688,High multicollinearity
item_51249_count,1000.0,1.0,High multicollinearity
item_51250_last,1000.0,0.9999669751291071,High multicollinearity
item_51250_mean,1000.0,0.9999949216625964,High multicollinearity
item_51250_min,1000.0,0.9999924716180314,High multicollinearity
item_51250_max,1000.0,0.9999642689759998,High multicollinearity
item_51250_count,1000.0,1.0,High multicollinearity
item_51248_last,1000.0,0.9999754928795881,High multicollinearity
item_51248_mean,1000.0,0.9999956280700731,High multicollinearity
item_51248_min,1000.0,0.9999863169288898,High multicollinearity
item_51248_max,1000.0,0.9999831161809759,High multicollinearity
item_51248_count,1000.0,1.0,High multicollinearity
item_50931_count,1000.0,0.9999009699942244,High multicollinearity
item_50960_count,1000.0,0.9999129763057663,High multicollinearity
item_50893_count,1000.0,0.9999556598346732,High multicollinearity
item_50970_mean,1000.0,0.9999035034776701,High multicollinearity
item_50970_max,1000.0,0.9999402713139098,High multicollinearity
item_50970_count,1000.0,0.999981115296117,High multicollinearity
item_50868_std,985.6064992498985,0.9989853963008959,High multicollinearity
item_50960_min,775.1886604610343,0.9987099914498165,High multicollinearity
item_50893_last,718.5267102066175,0.9986082632895965,High multicollinearity
item_50893_std,706.6295577855094,0.9985848313462377,High multicollinearity
item_50970_last,678.1040553455695,0.9985253000743516,High multicollinearity
item_50902_std,674.0555552806204,0.9985164427588114,High multicollinearity
item_50882_std,667.2439407850661,0.9985012977430362,High multicollinearity
item_50960_mean,598.9546440260785,0.9983304244987932,High multicollinearity
item_50971_std,523.604377019013,0.9980901611142114,High multicollinearity
item_50931_last,511.93024240429594,0.99804660885963,High multicollinearity
item_51265_last,507.4113675207024,0.998029212461506,High multicollinearity
item_51248_std,487.3976621377136,0.9979482872453388,High multicollinearity
item_51221_std,464.1627482558766,0.9978455832490704,High multicollinearity
item_50971_last,449.229525513525,0.9977739664398575,High multicollinearity
item_51222_pct_abnormal,302.0534332726547,0.9966893274836663,High multicollinearity
item_51277_pct_abnormal,300.0092392262403,0.9966667693215745,High multicollinearity
item_50868_pct_abnormal,207.12717953164773,0.995172048389491,High multicollinearity
item_51221_pct_abnormal,206.30200138664725,0.9951527372818559,High multicollinearity
item_50931_min,185.0734141642351,0.9945967387886809,High multicollinearity
item_50893_pct_abnormal,178.0545435490217,0.9943837434301435,High multicollinearity
item_51279_pct_abnormal,167.6754318378628,0.994036097065389,High multicollinearity
item_51248_pct_abnormal,146.3115358728701,0.9931652689308866,High multicollinearity
item_50960_pct_abnormal,139.29585549497426,0.9928210355114544,High multicollinearity
item_50882_pct_abnormal,117.56955642345399,0.9914943967603461,High multicollinearity
item_51006_pct_abnormal,103.86709103839048,0.9903723114799625,High multicollinearity
item_51250_pct_abnormal,99.6658425029955,0.9899664722146914,High multicollinearity
item_50902_pct_abnormal,98.65648735729351,0.9898638191285039,High multicollinearity
item_50960_last,95.92892575785142,0.9895756155705918,High multicollinearity
item_50912_pct_abnormal,82.80271981030347,0.9879231020153572,High multicollinearity
item_51301_pct_abnormal,82.33909319809335,0.9878551006434553,High multicollinearity
item_51265_pct_abnormal,58.71478027438234,0.9829685132887007,High multicollinearity
item_50931_pct_abnormal,50.85753383573846,0.9803372298147638,High multicollinearity
item_51249_pct_abnormal,44.413096707516594,0.9774841190069334,High multicollinearity
item_50983_pct_abnormal,27.21840945931574,0.9632601603155859,High multicollinearity
item_50970_pct_abnormal,26.189135394783314,0.9618162270374457,High multicollinearity
item_50971_pct_abnormal,12.002035548865287,0.9166808000252471,High multicollinearity
