feature,itemid,agg,label,category
item_51265_pct_abnormal,51265,pct_abnormal,Platelet Count,Hematology
item_51222_mean,51222,mean,Hemoglobin,Hematology
item_51222_last,51222,last,Hemoglobin,Hematology
item_50868_pct_abnormal,50868,pct_abnormal,Anion Gap,Chemistry
item_50868_count,50868,count,Anion Gap,Chemistry
item_51265_mean,51265,mean,Platelet Count,Hematology
item_51265_last,51265,last,Platelet Count,Hematology
item_50882_count,50882,count,Bicarbonate,Chemistry
item_50882_std,50882,std,Bicarbonate,Chemistry
item_50882_max,50882,max,Bicarbonate,Chemistry
item_50868_last,50868,last,Anion Gap,Chemistry
item_50868_std,50868,std,Anion Gap,Chemistry
item_51301_mean,51301,mean,White Blood Cells,Hematology
item_51301_last,51301,last,White Blood Cells,Hematology
item_51301_std,51301,std,White Blood Cells,Hematology
item_51249_last,51249,last,MCHC,Hematology
item_51301_pct_abnormal,51301,pct_abnormal,White Blood Cells,Hematology
item_51301_count,51301,count,White Blood Cells,Hematology
item_51279_pct_abnormal,51279,pct_abnormal,Red Blood Cells,Hematology
item_51279_max,51279,max,Red Blood Cells,Hematology
item_51279_std,51279,std,Red Blood Cells,Hematology
item_51279_last,51279,last,Red Blood Cells,Hematology
item_51277_pct_abnormal,51277,pct_abnormal,RDW,Hematology
item_51250_pct_abnormal,51250,pct_abnormal,MCV,Hematology
item_51250_min,51250,min,MCV,Hematology
item_51250_std,51250,std,MCV,Hematology
item_51250_count,51250,count,MCV,Hematology
item_51249_std,51249,std,MCHC,Hematology
item_51249_max,51249,max,MCHC,Hematology
item_51249_count,51249,count,MCHC,Hematology
item_51250_last,51250,last,MCV,Hematology
item_51249_min,51249,min,MCHC,Hematology
item_51279_count,51279,count,Red Blood Cells,Hematology
item_50931_pct_abnormal,50931,pct_abnormal,Glucose,Chemistry
item_51248_std,51248,std,MCH,Hematology
item_50931_last,50931,last,Glucose,Chemistry
item_51248_count,51248,count,MCH,Hematology
item_51248_pct_abnormal,51248,pct_abnormal,MCH,Hematology
item_51248_max,51248,max,MCH,Hematology
item_50960_std,50960,std,Magnesium,Chemistry
item_50960_max,50960,max,Magnesium,Chemistry
item_50960_min,50960,min,Magnesium,Chemistry
item_50960_mean,50960,mean,Magnesium,Chemistry
item_50960_last,50960,last,Magnesium,Chemistry
item_50960_pct_abnormal,50960,pct_abnormal,Magnesium,Chemistry
item_50893_mean,50893,mean,"Calcium, Total",Chemistry
item_50960_count,50960,count,Magnesium,Chemistry
item_50893_count,50893,count,"Calcium, Total",Chemistry
item_50893_std,50893,std,"Calcium, Total",Chemistry
item_50970_mean,50970,mean,Phosphate,Chemistry
item_50970_last,50970,last,Phosphate,Chemistry
item_50970_min,50970,min,Phosphate,Chemistry
item_50970_std,50970,std,Phosphate,Chemistry
item_50970_count,50970,count,Phosphate,Chemistry
item_50970_pct_abnormal,50970,pct_abnormal,Phosphate,Chemistry
