itemid,label,fluid,category
53128,11-Deoxycorticosterone,Blood,Chemistry
50857,Acetone,Blood,Chemistry
50907,"Cholesterol, Total",Blood,Chemistry
50994,Thyroxine (T4),Blood,Chemistry
51005,Uptake Ratio,Blood,Chemistry
51575,C1q,Blood,Chemistry
51678,L,Blood,Chemistry
51725,Rubeola IgG Ab,Blood,Chemistry
51726,Rubeola IgG Ab Value,Blood,Chemistry
51762,EE1,Blood,Chemistry
53142,Alpha-1-antitrypsin,Blood,Chemistry
50884,"Bilirubin, Indirect",Blood,Chemistry
50931,Glucose,Blood,Chemistry
50952,Iron,Blood,Chemistry
50968,"Phenytoin, Free",Blood,Chemistry
51647,Hemoglobin  S,Blood,Chemistry
51680,"LD, Isoenzyme 1",Blood,Chemistry
51682,"LD, Isoenzyme 3",Blood,Chemistry
51707,Progesterone,Blood,Chemistry
51750,"UE3, Multiples of Median",Blood,Chemistry
50897,Call,Blood,Chemistry
50908,CK-MB Index,Blood,Chemistry
50954,Lactate Dehydrogenase (LD),Blood,Chemistry
50978,Rapamycin,Blood,Chemistry
50984,Stat,Blood,Chemistry
51618,Epstein-Barr Virus Interpretation,Blood,Chemistry
51690,Lymphocytes,Blood,Chemistry
51733,STX2,Blood,Chemistry
51751,Uncon Bil,Blood,Chemistry
53147,Anti Hbc,Blood,Chemistry
53154,Lactate,Blood,Chemistry
50860,"AFP, Maternal Screen",Blood,Chemistry
50877,Anti-Thyroglobulin Antibodies,Blood,Chemistry
51562,Anti-Skin Antibody,Blood,Chemistry
51578,C6,Blood,Chemistry
51645,"Hemoglobin, Calculated",Blood,Chemistry
51669,Htlv Ab,Blood,Chemistry
51688,Lyme C6 Ab,Blood,Chemistry
51694,Mumps IgG Ab Value,Blood,Chemistry
51717,Reserved,Blood,Chemistry
51722,RFXLDLM,Blood,Chemistry
52569,Glucose,Blood,Chemistry
52647,Urea Nitrogen,Blood,Chemistry
53094,HBV VL CT,Blood,Chemistry
50898,Cancer Antigen 27.29,Blood,Chemistry
50904,"Cholesterol, HDL",Blood,Chemistry
50946,Human Chorionic Gonadotropin,Blood,Chemistry
50971,Potassium,Blood,Chemistry
50975,Protein Electrophoresis,Blood,Chemistry
51000,Triglycerides,Blood,Chemistry
51573,Bromide,Blood,Chemistry
51610,Dlta Bili,Blood,Chemistry
51612,Dr. X,Blood,Chemistry
51627,Free Lambda,Blood,Chemistry
51656,Hlap,Blood,Chemistry
53096,"Protein, Total",Blood,Chemistry
50882,Bicarbonate,Blood,Chemistry
50888,Blue Top Hold Frozen,Blood,Chemistry
50901,Centromere,Blood,Chemistry
50992,Thyroid Peroxidase Antibodies,Blood,Chemistry
51566,Beta,Blood,Chemistry
51584,Chylomicrons,Blood,Chemistry
51599,D,Blood,Chemistry
51744,Toxoplasma IgM Ab Value,Blood,Chemistry
50890,C3,Blood,Chemistry
50916,DHEA-Sulfate,Blood,Chemistry
50935,Haptoglobin,Blood,Chemistry
51593,Copper,Blood,Chemistry
51606,Digitoxin,Blood,Chemistry
51668,Hsap,Blood,Chemistry
53138,(Albumin),Blood,Chemistry
50864,Alpha-Fetoprotein,Blood,Chemistry
50938,Hepatitis A Virus IgM Antibody,Blood,Chemistry
50959,Macro Prolactin,Blood,Chemistry
50967,Phenytoin,Blood,Chemistry
50995,"Thyroxine (T4), Free",Blood,Chemistry
51646,Hemoglobin  F,Blood,Chemistry
51706,Problem Specimen,Blood,Chemistry
51714,Reflex HIV Confirmation,Blood,Chemistry
51764,EE7,Blood,Chemistry
51769,RUBIgGV,Blood,Chemistry
51771,,Blood,Chemistry
53145,Anti-GBM Antibody,Blood,Chemistry
50862,Albumin,Blood,Chemistry
50911,"Creatine Kinase, MB Isoenzyme",Blood,Chemistry
50969,"Phenytoin, Percent Free",Blood,Chemistry
51721,Reverse T3,Blood,Chemistry
51731,Single Stranded DNA,Blood,Chemistry
53132,Absolute Lymphocyte Count,Blood,Chemistry
50982,Sex Hormone Binding Globulin,Blood,Chemistry
51565,Argon,Blood,Chemistry
51746,Transferrin Saturation,Blood,Chemistry
50859,"Acid Phosphatase, Non-Prostatic",Blood,Chemistry
50878,Asparate Aminotransferase (AST),Blood,Chemistry
50912,Creatinine,Blood,Chemistry
50957,Lithium,Blood,Chemistry
50985,Study Tubes,Blood,Chemistry
50990,Theophylline,Blood,Chemistry
51006,Urea Nitrogen,Blood,Chemistry
51608,DirLst,Blood,Chemistry
51698,No MD,Blood,Chemistry
52546,Creatinine,Blood,Chemistry
50867,Amylase,Blood,Chemistry
50906,"Cholesterol, LDL, Measured",Blood,Chemistry
50939,"Hepatitis B Core Antibody, IgM",Blood,Chemistry
51003,Troponin T,Blood,Chemistry
51652,High-Sensitivity CRP,Blood,Chemistry
51675,INR(PT),Blood,Chemistry
51730,Serum Folate,Blood,Chemistry
51758,Xylose,Blood,Chemistry
53130,4t,Blood,Chemistry
50892,CA-125,Blood,Chemistry
50970,Phosphate,Blood,Chemistry
51556,Anti-Microsomal Antibodies,Blood,Chemistry
51574,C1 Inhibitor,Blood,Chemistry
51607,"Dimeric Inhibin A, Maternal Screen",Blood,Chemistry
51691,MCV,Blood,Chemistry
50875,Anti-Parietal Cell Antibody,Blood,Chemistry
51008,Valproic Acid,Blood,Chemistry
51570,"Bilirubin, Neonatal, Indirect",Blood,Chemistry
51616,Epstein-Barr Virus IgG Ab Value,Blood,Chemistry
51723,Rubella,Blood,Chemistry
51739,Total CO2,Blood,Chemistry
52642,Troponin I,Blood,Chemistry
53148,Anti Hbe,Blood,Chemistry
50891,C4,Blood,Chemistry
50943,Hepatitis C Virus Antibody,Blood,Chemistry
50947,I,Blood,Chemistry
51642,Hemoglobin  A1,Blood,Chemistry
51728,Serum B12,Blood,Chemistry
52535,Chloride,Blood,Chemistry
53135,"Acid Phosphatase, Prostatic Fraction",Blood,Chemistry
53151,Anti-la,Blood,Chemistry
50855,Absolute Hemoglobin,Blood,Chemistry
50919,EDTA Hold,Blood,Chemistry
50963,NTproBNP,Blood,Chemistry
50996,"Tissue Transglutaminase Ab, IgA",Blood,Chemistry
51579,CA 19-9,Blood,Chemistry
51626,Free Kappa/Free Lambda Ratio,Blood,Chemistry
51705,Primidone,Blood,Chemistry
51715,Renin,Blood,Chemistry
51754,VZV IgG Ab Value,Blood,Chemistry
50924,Ferritin,Blood,Chemistry
50932,Gray Top Hold (plasma),Blood,Chemistry
50956,Lipase,Blood,Chemistry
50989,"Testosterone, Free",Blood,Chemistry
51563,Anti-sm,Blood,Chemistry
51587,CMV IgG Ab Value,Blood,Chemistry
51600,Delete,Blood,Chemistry
51653,HIV 1 Ab Confirmation,Blood,Chemistry
51719,Reserved3,Blood,Chemistry
53134,Absolute Other WBC,Blood,Chemistry
50873,Anti-Nuclear Antibody,Blood,Chemistry
50880,Benzodiazepine Screen,Blood,Chemistry
50889,C-Reactive Protein,Blood,Chemistry
50920,Estimated GFR (MDRD equation),Blood,Chemistry
51558,Antirnp,Blood,Chemistry
51619,Epstein-Barr Virus VCA IgG Ab,Blood,Chemistry
51665,HPE9,Blood,Chemistry
51736,STX5,Blood,Chemistry
51605,Delta/Dlt,Blood,Chemistry
51679,Lap,Blood,Chemistry
51684,"LD, Isoenzyme 5",Blood,Chemistry
51703,PEPgel,Blood,Chemistry
51753,VZV IgG Ab,Blood,Chemistry
52551,D-Dimer,Blood,Chemistry
53089,"Bilirubin, Total",Blood,Chemistry
53139,Aldosterone,Blood,Chemistry
50909,Cortisol,Blood,Chemistry
50910,Creatine Kinase (CK),Blood,Chemistry
50951,Immunoglobulin M,Blood,Chemistry
51586,CMV IgG Ab,Blood,Chemistry
51630,Gamma,Blood,Chemistry
51662,HPE6,Blood,Chemistry
51701,"Osmolality, Calculated",Blood,Chemistry
51702,Park,Blood,Chemistry
53133,Absolute Neutrophil,Blood,Chemistry
51002,Troponin I,Blood,Chemistry
51624,Free Calcium,Blood,Chemistry
51639,Hematocrit,Blood,Chemistry
51644,Hemoglobin  C,Blood,Chemistry
51663,HPE7,Blood,Chemistry
52548,Cryoglobulin,Blood,Chemistry
53149,Anti-hbs,Blood,Chemistry
50988,Testosterone,Blood,Chemistry
51571,Billed,Blood,Chemistry
51654,HIV 1 Viral Load,Blood,Chemistry
53085,Albumin,Blood,Chemistry
53093,Gamma Glutamyltranferase,Blood,Chemistry
50961,Methotrexate,Blood,Chemistry
51655,HIV 2 Ab Confirmation,Blood,Chemistry
51666,H. pylori IgG Ab,Blood,Chemistry
51718,Reserved1,Blood,Chemistry
51765,EE3,Blood,Chemistry
53136,Adrenocorticotrophic Hormone,Blood,Chemistry
50872,Anti-Neutrophil Cytoplasmic Antibody,Blood,Chemistry
50903,Cholesterol Ratio (Total/HDL),Blood,Chemistry
50962,N-Acetylprocainamide (NAPA),Blood,Chemistry
51001,Triiodothyronine (T3),Blood,Chemistry
51671,IFEgel,Blood,Chemistry
53131,5' Nucleotidase,Blood,Chemistry
50934,H,Blood,Chemistry
50937,Hepatitis A Virus Antibody,Blood,Chemistry
51614,Epstein-Barr Virus  EBNA IgG Ab,Blood,Chemistry
51674,Immunoglobulin E,Blood,Chemistry
51737,STX6,Blood,Chemistry
51747,Treponemal Antibody Test,Blood,Chemistry
51760,Z,Blood,Chemistry
51768,EE6,Blood,Chemistry
53152,HIV FINAL,Blood,Chemistry
50853,25-OH Vitamin D,Blood,Chemistry
50856,Acetaminophen,Blood,Chemistry
50929,Gentamicin,Blood,Chemistry
51588,CMV IgM Ab,Blood,Chemistry
51591,Confirmation,Blood,Chemistry
51595,"Creatine Kinase, Isoenzyme MB",Blood,Chemistry
51603,Delete,Blood,Chemistry
51661,HPE5,Blood,Chemistry
51677,K (GREEN),Blood,Chemistry
51727,Send Out,Blood,Chemistry
53095,Lyme VsIE/PepC10 Antibody,Blood,Chemistry
51954,CDT027,Stool,Chemistry
51945,Norovirus Genogroup I,Stool,Chemistry
51953,Voided Specimen,Stool,Chemistry
51928,Alpha-1,Stool,Chemistry
51934,C Diff Toxin Antigen Assay,Stool,Chemistry
51941,"Glucose, Stool",Stool,Chemistry
51931,Beta,Stool,Chemistry
51937,"Creatinine, Stool",Stool,Chemistry
51064,"Potassium, Stool",Stool,Chemistry
51926,(Albumin),Stool,Chemistry
51951,"Urea Nitrogen, Stool",Stool,Chemistry
51061,"Bicarbonate, Stool",Stool,Chemistry
51947,O & P,Stool,Chemistry
51063,"Osmolality, Stool",Stool,Chemistry
51925,72 Hr Fat,Stool,Chemistry
51952,"Uric Acid, Stool",Stool,Chemistry
51062,"Chloride, Stool",Stool,Chemistry
51065,"Sodium, Stool",Stool,Chemistry
51935,"Cholesterol, Stool",Stool,Chemistry
51938,Cryptococ,Stool,Chemistry
51933,C. diff PCR,Stool,Chemistry
51930,"Amylase, Stool",Stool,Chemistry
51948,Sudan Stain,Stool,Chemistry
51946,Norovirus Genogroup II,Stool,Chemistry
51950,"Triglycerides, Stool",Stool,Chemistry
51944,"Lactate Dehydrogenase, Stool",Stool,Chemistry
51929,Alpha-2,Stool,Chemistry
51940,Gamma,Stool,Chemistry
51942,"IgG, Stool",Stool,Chemistry
51943,"Immunoelectrophoresis, Stool",Stool,Chemistry
51936,Clostrid,Stool,Chemistry
51927,"Albumin, Stool",Stool,Chemistry
51955,,Stool,Chemistry
51932,"Bilirubin, Total, Stool",Stool,Chemistry
51949,"Total Protein, Stool",Stool,Chemistry
51956,CDT027,Stool,Chemistry
51939,Fl Scan,Stool,Chemistry
51983,"Iron, Urine",Urine,Chemistry
51097,"Potassium, Urine",Urine,Chemistry
51967,Blood,Urine,Chemistry
51976,"Cortisol, Urine",Urine,Chemistry
51070,"Albumin/Creatinine, Urine",Urine,Chemistry
51988,O & P,Urine,Chemistry
52016,Z,Urine,Chemistry
52019,PAN2,Urine,Chemistry
51091,"Myoglobin, Urine",Urine,Chemistry
51073,"Amylase/Creatinine Ratio, Urine",Urine,Chemistry
51081,"Creatinine, Serum",Urine,Chemistry
51079,"Cocaine, Urine",Urine,Chemistry
51995,Study Urine,Urine,Chemistry
52004,UTX1,Urine,Chemistry
51098,"Prot. Electrophoresis, Urine",Urine,Chemistry
51986,Neisseria gonorrhoeae,Urine,Chemistry
51071,"Amphetamine Screen, Urine",Urine,Chemistry
51072,"Amylase, Urine",Urine,Chemistry
51086,"Immunofixation, Urine",Urine,Chemistry
51987,Nitrite,Urine,Chemistry
52006,UTX3,Urine,Chemistry
52014,Voided Specimen,Urine,Chemistry
51066,24 hr Calcium,Urine,Chemistry
51957,17-Hydroxycorticosteroids,Urine,Chemistry
51989,Oxycodone,Urine,Chemistry
52017,"Zinc, Urine",Urine,Chemistry
51994,Specific Gravity,Urine,Chemistry
51069,"Albumin, Urine",Urine,Chemistry
51991,"Propoxyphene, Urine",Urine,Chemistry
51102,"Total Protein, Urine",Urine,Chemistry
52013,Vanillylmandelic Acid,Urine,Chemistry
51084,"Glucose, Urine",Urine,Chemistry
51089,Marijuana,Urine,Chemistry
51966,Bilirubin,Urine,Chemistry
51984,Ketone,Urine,Chemistry
51998,UPEPgel,Urine,Chemistry
51083,"Ethanol, Urine",Urine,Chemistry
51104,"Urea Nitrogen, Urine",Urine,Chemistry
51960,Aldolase,Urine,Chemistry
51972,Chlamydia trachomatis,Urine,Chemistry
51974,"Copper, Urine",Urine,Chemistry
52008,UTX5,Urine,Chemistry
52015,Xylose,Urine,Chemistry
52018,PAN1,Urine,Chemistry
51095,"Phosphate, Urine",Urine,Chemistry
52007,UTX4,Urine,Chemistry
51999,Urine Amylase,Urine,Chemistry
51080,Creatinine Clearance,Urine,Chemistry
51100,"Sodium, Urine",Urine,Chemistry
51968,Camp,Urine,Chemistry
52730,pH,Urine,Chemistry
51090,"Methadone, Urine",Urine,Chemistry
51093,"Osmolality, Urine",Urine,Chemistry
51068,24 hr Protein,Urine,Chemistry
52009,UTX6,Urine,Chemistry
52012,UTX9,Urine,Chemistry
51096,Porphobilinogen Screen,Urine,Chemistry
51959,"5-HIAA, Urine",Urine,Chemistry
52703,"Albumin, Urine",Urine,Chemistry
51067,24 hr Creatinine,Urine,Chemistry
51087,Length of Urine Collection,Urine,Chemistry
51106,Urine Creatinine,Urine,Chemistry
51105,"Uric Acid, Urine",Urine,Chemistry
51971,Ccoc,Urine,Chemistry
52720,"HCG, Urine, Qualitative",Urine,Chemistry
52020,UTX10,Urine,Chemistry
51980,Fentanyl,Urine,Chemistry
51996,Trichomonas vaginalis,Urine,Chemistry
51078,"Chloride, Urine",Urine,Chemistry
51103,Uhold,Urine,Chemistry
51978,DirList,Urine,Chemistry
51981,Glucose,Urine,Chemistry
51076,"Bicarbonate, Urine",Urine,Chemistry
51088,"Magnesium, Urine",Urine,Chemistry
51092,"Opiate Screen, Urine",Urine,Chemistry
51074,"Barbiturate Screen, Urine",Urine,Chemistry
51964,"Amylase, Serum",Urine,Chemistry
51973,Copi,Urine,Chemistry
52002,Urobilinogen,Urine,Chemistry
51101,Total Collection Time,Urine,Chemistry
51982,"Immunoelectrophoresis, Urine",Urine,Chemistry
51099,Protein/Creatinine Ratio,Urine,Chemistry
51109,"Urine Volume, Total",Urine,Chemistry
51969,"Catecholamines, Urine",Urine,Chemistry
51977,"Creatinine, Blood",Urine,Chemistry
51997,UIFEgel,Urine,Chemistry
51970,Cben,Urine,Chemistry
51993,Referred,Urine,Chemistry
51107,"Urine tube, held",Urine,Chemistry
51958,"17-Ketosteroids, Urine",Urine,Chemistry
51962,Alpha-2,Urine,Chemistry
52005,UTX2,Urine,Chemistry
51075,"Benzodiazepine Screen, Urine",Urine,Chemistry
51992,Protein,Urine,Chemistry
51961,Alpha-1,Urine,Chemistry
51963,Amylase/Creatinine Clearance,Urine,Chemistry
51965,Beta,Urine,Chemistry
51985,Leukocytes,Urine,Chemistry
51979,"Estriol, Urine",Urine,Chemistry
51990,"Phenothiazine Screen, Urine",Urine,Chemistry
51085,"HCG, Urine, Qualitative",Urine,Chemistry
52000,Urine  Creatinine,Urine,Chemistry
